energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
278.8518,,0.043701441,0.0007539282837180205,CE,L,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
283.1563,,0.00905244135,0.00015759386807403071,CE,M,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
283.523,,0.0023304925,0.0000641112636866565,CE,K,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
284.0918,,0.001836195,0.000035758468025944564,CE,N,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
284.0918,,0.0020442971,0.00003688640633366851,CE,N+,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
284.28161,,0.00020932623,0.0000037164013903405266,CE,O,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
290.086,,0.00059332,0.00007062146631159679,CE,K,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
290.3468,,0.000002103189,0.0000009565678328247296,CE,L,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
291.224,,0.00928285,0.001309575627483957,CE,K,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
294.6513,,0.000000424941,0.00000019330568552942256,CE,M,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
295.5868,,0.0000000980771,0.00000004460762856844107,CE,N+,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
295.5868,,0.0000000873191,0.000000039713952721304385,CE,N,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
295.77661,,0.00000001072214,0.000000004876814429040745,CE,O,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
296.9468,,0.000005232789,0.0000006368657585592509,CE,L,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
301.2513,,0.000001054121,0.0000001287813830305064,CE,M,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
302.1868,,0.0000002169693,0.00000002642772452979068,CE,N,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
302.1868,,0.0000002439132,0.000000029717398613606815,CE,N+,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
302.37661,,0.00000002670755,0.000000003249565488449956,CE,O,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
312.6348,,0.000300409,0.00000806072916118635,CE,L,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
316.9393,,0.00006085605,0.0000016260501913840175,CE,M,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
317.8748,,0.000014168775,0.00000038792338850602966,CE,N+,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
317.8748,,0.00001260479,0.00000033743802809145566,CE,N,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
318.06461,,0.00000157947,0.00000004170261814622674,CE,O,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
319.1978,,0.00008476,0.000011676054513404775,CE,L,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
320.3358,,0.00100200175,0.00007971132400169063,CE,L,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
323.5023,,0.0000171639,0.0000024765801385176293,CE,M,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
323.835,,0.0003423,0.00012140939677389061,CE,K,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
324.4378,,0.00000353873,0.0000004930275694370448,CE,N,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
