p_z,p_n,p_symbol,p_energy,d_z,d_n,d_symbol,bin_en,dn_de,unc_dn_de,dn_de_nu,unc_dn_de_nu,extraction_date
53,78,I,0,54,77,Xe,424,0.000751988,0.00000633161,0.00229881,0.0000197654,2026-07-09
53,78,I,0,54,77,Xe,426,0.000738629,0.00000623465,0.00230795,0.0000198407,2026-07-09
53,78,I,0,54,77,Xe,428,0.000725324,0.00000613825,0.002317,0.0000199152,2026-07-09
53,78,I,0,54,77,Xe,430,0.000712076,0.00000604243,0.00232596,0.0000199888,2026-07-09
53,78,I,0,54,77,Xe,432,0.000698886,0.00000594721,0.0023348,0.0000200614,2026-07-09
53,78,I,0,54,77,Xe,434,0.000685755,0.00000585258,0.00234355,0.0000201332,2026-07-09
53,78,I,0,54,77,Xe,436,0.000672687,0.00000575857,0.0023522,0.0000202041,2026-07-09
53,78,I,0,54,77,Xe,438,0.000659683,0.00000566519,0.00236074,0.000020274,2026-07-09
53,78,I,0,54,77,Xe,440,0.000646745,0.00000557246,0.00236918,0.0000203431,2026-07-09
53,78,I,0,54,77,Xe,442,0.000633874,0.00000548037,0.00237753,0.0000204113,2026-07-09
53,78,I,0,54,77,Xe,444,0.000621071,0.00000538893,0.00238576,0.0000204785,2026-07-09
53,78,I,0,54,77,Xe,446,0.000608341,0.00000529818,0.00239389,0.0000205448,2026-07-09
53,78,I,0,54,77,Xe,448,0.000595684,0.00000520812,0.00240192,0.0000206102,2026-07-09
53,78,I,0,54,77,Xe,450,0.000583101,0.00000511874,0.00240984,0.0000206746,2026-07-09
53,78,I,0,54,77,Xe,452,0.000570596,0.00000503008,0.00241767,0.0000207382,2026-07-09
53,78,I,0,54,77,Xe,454,0.000558169,0.00000494212,0.00242538,0.0000208008,2026-07-09
53,78,I,0,54,77,Xe,456,0.000545824,0.0000048549,0.00243298,0.0000208624,2026-07-09
53,78,I,0,54,77,Xe,458,0.00053356,0.00000476841,0.00244048,0.0000209232,2026-07-09
53,78,I,0,54,77,Xe,460,0.000521383,0.00000468267,0.00244787,0.000020983,2026-07-09
53,78,I,0,54,77,Xe,462,0.00050929,0.00000459767,0.00245515,0.0000210418,2026-07-09
53,78,I,0,54,77,Xe,464,0.000497288,0.00000451344,0.00246233,0.0000210997,2026-07-09
53,78,I,0,54,77,Xe,466,0.000485375,0.00000442998,0.0024694,0.0000211567,2026-07-09
53,78,I,0,54,77,Xe,468,0.000473555,0.0000043473,0.00247636,0.0000212127,2026-07-09
53,78,I,0,54,77,Xe,470,0.00046183,0.0000042654,0.00248322,0.0000212678,2026-07-09
53,78,I,0,54,77,Xe,472,0.0004502,0.0000041843,0.00248997,0.000021322,2026-07-09
53,78,I,0,54,77,Xe,474,0.000438669,0.00000410398,0.00249661,0.0000213752,2026-07-09
53,78,I,0,54,77,Xe,476,0.00042724,0.00000402447,0.00250314,0.0000214275,2026-07-09
53,78,I,0,54,77,Xe,478,0.000415912,0.00000394577,0.00250956,0.0000214788,2026-07-09
53,78,I,0,54,77,Xe,480,0.000404688,0.00000386787,0.00251587,0.0000215292,2026-07-09
53,78,I,0,54,77,Xe,482,0.000393572,0.0000037908,0.00252206,0.0000215786,2026-07-09
53,78,I,0,54,77,Xe,484,0.000382564,0.00000371454,0.00252815,0.0000216271,2026-07-09
53,78,I,0,54,77,Xe,486,0.000371666,0.00000363909,0.00253414,0.0000216746,2026-07-09
53,78,I,0,54,77,Xe,488,0.000360882,0.00000356447,0.00254001,0.0000217212,2026-07-09
53,78,I,0,54,77,Xe,490,0.000350212,0.00000349066,0.00254578,0.0000217688,2026-07-09
53,78,I,0,54,77,Xe,492,0.000339659,0.00000341768,0.00255144,0.0000218208,2026-07-09
53,78,I,0,54,77,Xe,494,0.000329225,0.00000334551,0.00255698,0.0000218717,2026-07-09
53,78,I,0,54,77,Xe,496,0.000318912,0.00000327416,0.00256242,0.0000219218,2026-07-09
53,78,I,0,54,77,Xe,498,0.000308722,0.00000320362,0.00256775,0.0000219709,2026-07-09
53,78,I,0,54,77,Xe,500,0.000298657,0.00000313405,0.00257297,0.0000220192,2026-07-09
53,78,I,0,54,77,Xe,502,0.000288719,0.00000306528,0.00257808,0.0000220665,2026-07-09
53,78,I,0,54,77,Xe,504,0.000278911,0.00000299731,0.00258309,0.0000221128,2026-07-09
53,78,I,0,54,77,Xe,506,0.000269235,0.00000293015,0.00258798,0.0000221582,2026-07-09
53,78,I,0,54,77,Xe,508,0.000259693,0.00000286377,0.00259277,0.0000222026,2026-07-09
53,78,I,0,54,77,Xe,510,0.000250286,0.00000279818,0.00259745,0.0000222462,2026-07-09
53,78,I,0,54,77,Xe,512,0.000241017,0.00000273333,0.00260202,0.0000222887,2026-07-09
53,78,I,0,54,77,Xe,514,0.000231888,0.00000266926,0.00260649,0.0000223304,2026-07-09
53,78,I,0,54,77,Xe,516,0.000222902,0.00000260592,0.00261086,0.0000223712,2026-07-09
53,78,I,0,54,77,Xe,518,0.00021406,0.0000025433,0.0026151,0.0000224109,2026-07-09
53,78,I,0,54,77,Xe,520,0.000205365,0.00000248139,0.00261926,0.0000224498,2026-07-09
53,78,I,0,54,77,Xe,522,0.000196819,0.00000242017,0.0026233,0.0000224876,2026-07-09
53,78,I,0,54,77,Xe,524,0.000188424,0.00000235962,0.00262724,0.0000225247,2026-07-09
53,78,I,0,54,77,Xe,526,0.000180183,0.00000229972,0.00263108,0.0000225607,2026-07-09
53,78,I,0,54,77,Xe,528,0.000172097,0.00000224044,0.00263481,0.0000225958,2026-07-09
53,78,I,0,54,77,Xe,530,0.000164168,0.00000218177,0.00263844,0.00002263,2026-07-09
53,78,I,0,54,77,Xe,532,0.000156401,0.00000212369,0.00264197,0.0000226633,2026-07-09
53,78,I,0,54,77,Xe,534,0.000148794,0.00000206614,0.0026454,0.0000226957,2026-07-09
53,78,I,0,54,77,Xe,536,0.000141354,0.00000200912,0.00264873,0.0000227271,2026-07-09
53,78,I,0,54,77,Xe,538,0.000134079,0.00000195258,0.00265196,0.0000227576,2026-07-09
53,78,I,0,54,77,Xe,540,0.000126973,0.00000189651,0.00265509,0.0000227873,2026-07-09
53,78,I,0,54,77,Xe,542,0.000120039,0.00000184086,0.00265813,0.000022816,2026-07-09
53,78,I,0,54,77,Xe,544,0.000113278,0.0000017856,0.00266106,0.0000228439,2026-07-09
53,78,I,0,54,77,Xe,546,0.000106694,0.0000017307,0.00266391,0.0000228709,2026-07-09
53,78,I,0,54,77,Xe,548,0.000100288,0.00000167612,0.00266665,0.0000228969,2026-07-09
53,78,I,0,54,77,Xe,550,0.0000940616,0.00000162181,0.00266931,0.0000229222,2026-07-09
53,78,I,0,54,77,Xe,552,0.0000880187,0.00000156773,0.00267187,0.0000229465,2026-07-09
53,78,I,0,54,77,Xe,554,0.0000821609,0.00000151386,0.00267434,0.00002297,2026-07-09
53,78,I,0,54,77,Xe,556,0.0000764906,0.00000146013,0.00267671,0.0000229927,2026-07-09
53,78,I,0,54,77,Xe,558,0.0000710101,0.00000140651,0.00267901,0.0000230146,2026-07-09
53,78,I,0,54,77,Xe,560,0.0000657219,0.00000135296,0.0026812,0.0000230356,2026-07-09
53,78,I,0,54,77,Xe,562,0.0000606283,0.00000129942,0.00268332,0.0000230559,2026-07-09
53,78,I,0,54,77,Xe,564,0.0000557316,0.00000124584,0.00268533,0.0000230753,2026-07-09
53,78,I,0,54,77,Xe,566,0.0000510342,0.00000119218,0.00268727,0.000023094,2026-07-09
53,78,I,0,54,77,Xe,568,0.0000465385,0.00000113839,0.00268912,0.0000231121,2026-07-09
53,78,I,0,54,77,Xe,570,0.000042247,0.00000108442,0.00269088,0.0000231293,2026-07-09
53,78,I,0,54,77,Xe,572,0.0000381619,0.0000010302,0.00269255,0.0000231459,2026-07-09
53,78,I,0,54,77,Xe,574,0.0000342857,0.000000975705,0.00269413,0.0000231619,2026-07-09
53,78,I,0,54,77,Xe,576,0.0000306208,0.000000920867,0.00269563,0.0000231773,2026-07-09
53,78,I,0,54,77,Xe,578,0.0000271698,0.000000865635,0.00269702,0.000023192,2026-07-09
53,78,I,0,54,77,Xe,580,0.0000239348,0.000000809955,0.00269833,0.0000232063,2026-07-09
53,78,I,0,54,77,Xe,582,0.0000209185,0.000000753771,0.00269955,0.00002322,2026-07-09
53,78,I,0,54,77,Xe,584,0.0000181233,0.000000697031,0.00270066,0.0000232333,2026-07-09
53,78,I,0,54,77,Xe,586,0.0000155516,0.000000639675,0.00270168,0.0000232463,2026-07-09
53,78,I,0,54,77,Xe,588,0.000013206,0.000000581653,0.00270259,0.0000232588,2026-07-09
53,78,I,0,54,77,Xe,590,0.0000110888,0.000000522905,0.00270338,0.0000232709,2026-07-09
53,78,I,0,54,77,Xe,592,0.00000920254,0.00000046338,0.00270406,0.0000232827,2026-07-09
53,78,I,0,54,77,Xe,594,0.00000754973,0.000000403017,0.00270462,0.0000232941,2026-07-09
53,78,I,0,54,77,Xe,596,0.00000613287,0.000000341765,0.00270504,0.0000233048,2026-07-09
53,78,I,0,54,77,Xe,598,0.00000495446,0.000000279567,0.00270533,0.000023315,2026-07-09
53,78,I,0,54,77,Xe,600,0.00000401702,0.000000216368,0.00270549,0.0000233241,2026-07-09
53,78,I,0,54,77,Xe,602,0.00000332306,0.000000152114,0.0027055,0.0000233321,2026-07-09
53,78,I,0,54,77,Xe,604,0.00000287512,0.0000000867584,0.00270538,0.0000233389,2026-07-09
53,78,I,0,54,77,Xe,606,0.00000267574,0.0000000203296,0.00270511,0.0000233267,2026-07-09
53,78,I,0,54,77,Xe,608,0.00000263637,0.00000000236644,0.00000852531,0.00000000640115,2026-07-09
53,78,I,0,54,77,Xe,610,0.00000259988,0.00000000233472,0.00000853739,0.00000000641195,2026-07-09
53,78,I,0,54,77,Xe,612,0.00000256346,0.00000000230295,0.00000854935,0.00000000642272,2026-07-09
53,78,I,0,54,77,Xe,614,0.00000252709,0.00000000227113,0.00000856115,0.00000000643345,2026-07-09
53,78,I,0,54,77,Xe,616,0.0000024908,0.00000000223928,0.0000085728,0.00000000644414,2026-07-09
53,78,I,0,54,77,Xe,618,0.00000245458,0.00000000220738,0.00000858425,0.00000000645478,2026-07-09
