nuclide	particle	bin_energy_keV	bin_energy_MeV	dn_dE_per_decay_per_keV	dn_dE_per_decay_per_MeV	unc_dn_dE_per_decay_per_keV	nu_dn_dE_per_decay_per_keV	nu_unc_dn_dE_per_decay_per_keV	parent_energy_keV	daughter	source
I-131	beta-	9.6	0.0096	0.00343038	3.43038	0.0000218705	4.57866e-06	0.0000000251966	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	10	0.01	0.00342936	3.42936	0.0000218695	4.96443e-06	0.0000000273221	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	11	0.011	0.00342674	3.42674	0.0000218667	5.9951e-06	0.0000000330007	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	12	0.012	0.00342406	3.42406	0.0000218636	7.12095e-06	0.0000000392066	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	13	0.013	0.00342133	3.42133	0.0000218603	8.34076e-06	0.0000000459315	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	14	0.014	0.00341855	3.41855	0.0000218568	9.6546e-06	0.0000000531782	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	15	0.015	0.00341571	3.41571	0.0000218529	1.10613e-05	0.0000000609381	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	16	0.016	0.00341281	3.41281	0.0000218488	1.25608e-05	0.0000000692141	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	17	0.017	0.00340988	3.40988	0.0000218446	1.4152e-05	0.0000000779978	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	18	0.018	0.0034069	3.4069	0.00002184	1.5835e-05	0.0000000872919	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	19	0.019	0.00340387	3.40387	0.0000218353	1.76085e-05	0.0000000970882	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	20	0.02	0.0034008	3.4008	0.0000218303	1.94727e-05	0.000000107389	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	21	0.021	0.00339768	3.39768	0.000021825	2.14262e-05	0.000000118187	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	22	0.022	0.00339453	3.39453	0.0000218196	2.34693e-05	0.000000129484	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	23	0.023	0.00339134	3.39134	0.000021814	2.56006e-05	0.000000141271	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	24	0.024	0.00338811	3.38811	0.0000218082	2.78202e-05	0.000000153553	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	25	0.025	0.00338485	3.38485	0.0000218021	3.01271e-05	0.000000166319	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	26	0.026	0.00338154	3.38154	0.0000217959	3.25212e-05	0.000000179575	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	27	0.027	0.0033782	3.3782	0.0000217894	3.50014e-05	0.00000019331	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	28	0.028	0.00337482	3.37482	0.0000217828	3.75676e-05	0.000000207527	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	29	0.029	0.00337141	3.37141	0.000021776	4.02189e-05	0.000000222218	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	30	0.03	0.00336798	3.36798	0.000021769	4.29551e-05	0.000000237387	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	31	0.031	0.00336451	3.36451	0.0000217618	4.57752e-05	0.000000253025	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	32	0.032	0.003361	3.361	0.0000217544	4.86793e-05	0.000000269135	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	33	0.033	0.00335746	3.35746	0.0000217469	5.16659e-05	0.000000285707	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	34	0.034	0.00335389	3.35389	0.0000217391	5.47354e-05	0.000000302746	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	35	0.035	0.00335029	3.35029	0.0000217313	5.78866e-05	0.000000320243	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	36	0.036	0.00334667	3.34667	0.0000217232	6.11195e-05	0.0000003382	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	37	0.037	0.00334301	3.34301	0.000021715	6.44329e-05	0.000000356611	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	38	0.038	0.00333932	3.33932	0.0000217065	6.78269e-05	0.000000375476	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	39	0.039	0.00333561	3.33561	0.0000216979	7.13004e-05	0.000000394788	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	40	0.04	0.00333186	3.33186	0.0000216891	7.48533e-05	0.00000041455	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	41	0.041	0.00332808	3.32808	0.0000216801	7.84847e-05	0.000000434754	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	42	0.042	0.00332427	3.32427	0.000021671	8.21945e-05	0.000000455402	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	43	0.043	0.00332044	3.32044	0.0000216617	8.59816e-05	0.000000476487	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	44	0.044	0.00331657	3.31657	0.0000216521	8.9846e-05	0.00000049801	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	45	0.045	0.00331268	3.31268	0.0000216425	9.37866e-05	0.000000519964	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	46	0.046	0.00330876	3.30876	0.0000216326	9.78035e-05	0.000000542353	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	47	0.047	0.00330481	3.30481	0.0000216226	0.000101896	0.000000565166	0	Xe	IAEA LiveChart bin_beta Betashape
