nuclide	particle	bin_energy_keV	bin_energy_MeV	dn_dE_per_decay_per_keV	dn_dE_per_decay_per_MeV	unc_dn_dE_per_decay_per_keV	nu_dn_dE_per_decay_per_keV	nu_unc_dn_dE_per_decay_per_keV	parent_energy_keV	daughter	source
Tc-99m	beta-	201	0.201	8.47802e-08	8.47802e-05	0.000000000000295021	1.11676e-07	0.00000000000044235	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	202	0.202	8.41018e-08	8.41018e-05	0.0000000000002921	1.12384e-07	0.000000000000445366	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	203	0.203	8.34238e-08	8.34238e-05	0.000000000000289185	1.13091e-07	0.000000000000448378	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	204	0.204	8.27462e-08	8.27462e-05	0.000000000000286275	1.13797e-07	0.000000000000451387	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	205	0.205	8.2069e-08	8.2069e-05	0.000000000000283372	1.14502e-07	0.000000000000454392	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	206	0.206	8.13923e-08	8.13923e-05	0.000000000000280475	1.15205e-07	0.000000000000457394	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	207	0.207	8.0716e-08	8.0716e-05	0.000000000000277584	1.15906e-07	0.000000000000460392	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	208	0.208	8.00402e-08	8.00402e-05	0.0000000000002747	1.16606e-07	0.000000000000463386	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	209	0.209	7.93651e-08	7.93651e-05	0.000000000000271823	1.17305e-07	0.000000000000466376	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	210	0.21	7.86905e-08	7.86905e-05	0.000000000000268952	1.18002e-07	0.000000000000469362	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	211	0.211	7.80165e-08	7.80165e-05	0.000000000000266089	1.18697e-07	0.000000000000472344	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	212	0.212	7.73432e-08	7.73432e-05	0.000000000000263234	1.19391e-07	0.000000000000475321	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	213	0.213	7.66705e-08	7.66705e-05	0.000000000000260385	1.20084e-07	0.000000000000478293	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	214	0.214	7.59986e-08	7.59986e-05	0.000000000000257545	1.20775e-07	0.000000000000481262	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	215	0.215	7.53274e-08	7.53274e-05	0.000000000000254712	1.21464e-07	0.000000000000484225	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	216	0.216	7.4657e-08	7.4657e-05	0.000000000000251888	1.22152e-07	0.000000000000487183	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	217	0.217	7.39874e-08	7.39874e-05	0.000000000000249071	1.22837e-07	0.000000000000490136	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	218	0.218	7.33186e-08	7.33186e-05	0.000000000000246264	1.23522e-07	0.000000000000493085	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	219	0.219	7.26508e-08	7.26508e-05	0.000000000000243465	1.24204e-07	0.000000000000496028	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	220	0.22	7.19838e-08	7.19838e-05	0.000000000000240674	1.24885e-07	0.000000000000498965	142.6836	Ru	IAEA LiveChart bin_beta Betashape
