nuclide	particle	bin_energy_keV	bin_energy_MeV	dn_dE_per_decay_per_keV	dn_dE_per_decay_per_MeV	unc_dn_dE_per_decay_per_keV	nu_dn_dE_per_decay_per_keV	nu_unc_dn_dE_per_decay_per_keV	parent_energy_keV	daughter	source
F-18	beta+	138	0.138	0.00243597	2.43597	0.00000332424	0.000696119	0.000001643	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	140	0.14	0.00244733	2.44733	0.00000331567	0.000712987	0.00000167975	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	142	0.142	0.00245829	2.45829	0.00000330613	0.000729956	0.00000171658	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	144	0.144	0.00246886	2.46886	0.00000329565	0.000747021	0.00000175346	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	146	0.146	0.00247903	2.47903	0.00000328423	0.000764179	0.00000179039	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	148	0.148	0.00248882	2.48882	0.00000327189	0.000781427	0.00000182735	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	150	0.15	0.00249822	2.49822	0.00000325864	0.00079876	0.00000186433	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	152	0.152	0.00250723	2.50723	0.00000324449	0.000816176	0.00000190133	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	154	0.154	0.00251587	2.51587	0.00000322946	0.00083367	0.00000193833	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	156	0.156	0.00252414	2.52414	0.00000321354	0.000851239	0.00000197531	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	158	0.158	0.00253204	2.53204	0.00000319676	0.000868879	0.00000201227	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	160	0.16	0.00253957	2.53957	0.00000317913	0.000886587	0.0000020492	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	162	0.162	0.00254674	2.54674	0.00000316066	0.000904359	0.00000208608	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	164	0.164	0.00255354	2.55354	0.00000314135	0.000922193	0.00000212291	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	166	0.166	0.00255999	2.55999	0.00000312122	0.000940083	0.00000215967	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	168	0.168	0.00256609	2.56609	0.00000310029	0.000958028	0.00000219635	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	170	0.17	0.00257184	2.57184	0.00000307855	0.000976023	0.00000223295	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	172	0.172	0.00257724	2.57724	0.00000305602	0.000994065	0.00000226944	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	174	0.174	0.00258229	2.58229	0.00000303272	0.00101215	0.00000230582	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	176	0.176	0.002587	2.587	0.00000300865	0.00103028	0.00000234208	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	178	0.178	0.00259138	2.59138	0.00000298382	0.00104844	0.0000023782	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	180	0.18	0.00259542	2.59542	0.00000295824	0.00106663	0.00000241419	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	182	0.182	0.00259913	2.59913	0.00000293193	0.00108486	0.00000245002	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	184	0.184	0.0026025	2.6025	0.00000290489	0.00110311	0.00000248568	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	186	0.186	0.00260556	2.60556	0.00000287713	0.00112138	0.00000252117	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	188	0.188	0.00260828	2.60828	0.00000284866	0.00113968	0.00000255647	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	190	0.19	0.00261069	2.61069	0.0000028195	0.00115799	0.00000259158	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	192	0.192	0.00261277	2.61277	0.00000278965	0.00117632	0.00000262648	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	194	0.194	0.00261454	2.61454	0.00000275912	0.00119465	0.00000266116	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	196	0.196	0.002616	2.616	0.00000272793	0.00121299	0.00000269562	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	198	0.198	0.00261714	2.61714	0.00000269608	0.00123134	0.00000272984	0	O	IAEA LiveChart bin_beta Betashape
